KINETIC_KINEMATIC::LFT::ProxEndPos
File	Frame	X 	Y 	Z 
 - 	581	7.346435	-3.685732	0.171129
 - 	582	7.345387	-3.685530	0.172047
 - 	583	7.344807	-3.685011	0.173115
 - 	584	7.344066	-3.684293	0.174416
 - 	585	7.342724	-3.683025	0.175979
 - 	586	7.341315	-3.681272	0.177673
 - 	587	7.339947	-3.679263	0.179433
 - 	588	7.338593	-3.677250	0.181242
 - 	589	7.337552	-3.675311	0.183133
 - 	590	7.336941	-3.673069	0.185062
 - 	591	7.337143	-3.670190	0.187014
 - 	592	7.337910	-3.666346	0.188784
 - 	593	7.337405	-3.661187	0.190536
 - 	594	7.337647	-3.654319	0.191787
 - 	595	7.335635	-3.646932	0.192715
 - 	596	7.333981	-3.638632	0.192868
 - 	597	7.335745	-3.627668	0.192471
 - 	598	7.339055	-3.614661	0.191934
 - 	599	7.342681	-3.600676	0.191411
 - 	600	7.346612	-3.586109	0.190839
 - 	601	7.351042	-3.571063	0.190230
 - 	602	7.355351	-3.555829	0.189653
 - 	603	7.359587	-3.540426	0.189339
 - 	604	7.363512	-3.524834	0.189367
 - 	605	7.367467	-3.509079	0.189801
 - 	606	7.371830	-3.493101	0.190626
 - 	607	7.376750	-3.477159	0.191734
 - 	608	7.382020	-3.461614	0.192948
 - 	609	7.387162	-3.446766	0.194210
 - 	610	7.392093	-3.432678	0.195384
 - 	611	7.396652	-3.419427	0.196378
 - 	612	7.401200	-3.407082	0.197082
 - 	613	7.406257	-3.395640	0.197493
 - 	614	7.412056	-3.385176	0.197619
 - 	615	7.418578	-3.375669	0.197443
 - 	616	7.425018	-3.367339	0.196793
 - 	617	7.430909	-3.360410	0.195496
 - 	618	7.436109	-3.355239	0.193439
 - 	619	7.440320	-3.351870	0.190615
 - 	620	7.443447	-3.350057	0.187105
 - 	621	7.445685	-3.348950	0.183234
 - 	622	7.447884	-3.347040	0.179619
 - 	623	7.449201	-3.344370	0.176420
 - 	624	7.452031	-3.341002	0.173911
 - 	625	7.451148	-3.338369	0.171482
 - 	626	7.449788	-3.335715	0.169481
 - 	627	7.450391	-3.333627	0.167695
 - 	628	7.449449	-3.332695	0.165667
